ID machihne,ID geo,Symmetric,Side,Breaks,Parallel width shaft (mm),Perpendicular width shaft (mm),Width geo before shaft (mm),Max width (mm),Distance from tip to start haft (mm)
1,1,Yes,Distal/Proximal,No,7.3,7.3,1.8,9.9,11.9
2,2,Yes,Distal/Proximal,No,7.6,8.5,2.1,12,11.4
3,3,No,Distal,No,6,5.7,1.3,10.8,7.2
4,4,No,Distal,No,7.4,7.2,2.8,11,6.5
5,5,No,Distal,No,6.5,6.1,1.8,8.5,12.2
6,6,No,Distal,No,6,7.2,1.5,7.6,9.2
7,7,Yes,Horizontal,No,7.6,7.4,4.1,20.7,10.9
8,8,Yes,Horizontal,No,7.8,6.3,3.8,18.4,7.9
9,9,Yes,Horizontal,No,6.4,6.9,2.2,4.8,6.5
10,10,Yes,Horizontal,No,7.4,5.9,3.5,17.3,5.1
11,11,Yes,Distal/Proximal,No,6.4,5.8,2.2,10.8,7.7
12,12,Yes,Distal/Proximal,No,6.4,5.9,1.8,12.6,6.6
13,13,No,Distal,No,8.2,5.5,2.3,9.3,13.1
14,14,No,Distal,No,7.9,6.2,1.8,11.4,13.5
15,15,No,Proximal,No,6.2,5.7,3.1,9.4,9.8
16,16,No,Proximal,No,5.5,5.4,2.5,9.5,7.8
17,17,Yes,Distal/Proximal,No,7.4,5.8,2.9,10.2,10.9
18,18,Yes,Distal/Proximal,No,7.1,7.6,2.5,11.1,15.7
19,19,Yes,Distal/Proximal,No,6.6,5.9,2,9.2,9.4
20,20,Yes,Distal/Proximal,No,5.7,5.9,1.3,9.5,7.8
21,21,Yes,Distal/Proximal,No,6,6.4,2.5,8.2,15.1
22,22,Yes,Distal/Proximal,No,6.2,6.2,2.3,8.2,15.6
23,23,Yes,Distal/Proximal,No,8,5.5,2.1,7.6,13.5
24,24,Yes,Distal/Proximal,No,7.9,7,2.9,10.1,13.1
25,25,Yes,Distal/Proximal,No,7.2,5.5,2.1,12.6,8.1
26,26,Yes,Distal/Proximal,No,6.2,5.7,2,10,8
27,27,No,Distal,No,7.5,5.8,1.6,8.8,15.3
28,28,No,Distal,No,7.2,5.8,2.5,7.8,13.8
29,29,Yes,Distal/Proximal,No,6.8,8.2,1.3,8.2,6.6
