Throw ID,Area under curve (J),Maximum Force (kgf),Displacement at Maximum Force (mm),Modulus (Automatic Young's) (kgf/mm²),Break location,Compressive displacement at Maximum Force (mm),Compressive strain (Displacement) at Maximum Force (%),Compressive stress at Maximum Force (kgf/mm²),Energy at Maximum Force (J),Energy to X-intercept at Modulus (Automatic Young's) (J),Day
1,0.3438,2.68,27.74,1.32,-----,27.74,27.74,0.27,0.29,0.00,1
2,0.4626,3.56,29.97,1.24,-----,29.97,29.97,0.36,0.46,0.00,1
3,0.4207,2.31,24.06,1.41,-----,24.06,24.06,0.23,0.31,0.01,1
4,0.4107,2.29,26.91,2.22,-----,26.91,26.91,0.23,0.35,0.01,1
5,0.2761,1.85,23.87,1.17,-----,23.87,23.87,0.19,0.17,0.00,1
6,0.2984,1.91,22.16,1.34,-----,22.16,22.16,0.19,0.17,0.00,1
7,0.8574,3.79,29.73,3.90,-----,29.73,29.73,0.38,0.85,0.00,1
8,0.8317,3.79,22.24,4.02,-----,22.24,22.24,0.38,0.56,0.00,1
9,0.8310,3.63,19.31,3.80,-----,19.31,19.31,0.36,0.48,-----,1
10,0.8155,3.68,19.13,3.76,-----,19.13,19.13,0.37,0.46,0.00,1
11,0.4425,2.52,21.01,1.74,-----,21.01,21.01,0.25,0.26,0.00,1
12,0.4391,2.34,17.24,1.26,-----,17.24,17.24,0.23,0.18,-----,1
13,0.3901,2.77,26.09,1.50,-----,26.09,26.09,0.28,0.29,0.00,1
14,0.3504,2.70,29.36,1.26,-----,29.36,29.36,0.27,0.33,0.00,1
15,0.3557,2.17,27.51,2.88,-----,27.51,27.51,0.22,0.32,0.02,1
16,0.3784,2.27,22.21,1.29,-----,22.21,22.21,0.23,0.22,0.00,1
17,0.3844,2.45,27.86,1.55,-----,27.86,27.86,0.24,0.34,0.00,1
18,0.3045,2.57,29.98,1.48,-----,29.98,29.98,0.26,0.30,0.00,1
19,0.2886,1.71,22.23,0.93,-----,22.23,22.23,0.17,0.17,0.00,1
20,0.3260,1.96,20.66,1.10,-----,20.66,20.66,0.20,0.18,0.00,1
21,0.2144,1.77,24.19,1.29,-----,24.19,24.19,0.18,0.12,0.00,1
22,0.2657,2.24,30.00,0.89,-----,30.00,30.00,0.22,0.27,0.00,1
23,0.3440,2.55,28.47,1.22,-----,28.47,28.47,0.25,0.31,0.00,1
24,0.3709,2.97,26.84,1.29,-----,26.84,26.84,0.30,0.28,0.00,1
25,0.4358,2.40,24.06,1.63,-----,24.06,24.06,0.24,0.30,0.00,1
26,0.3075,1.94,20.47,1.15,-----,20.47,20.47,0.19,0.19,0.00,1
27,0.2479,2.20,29.99,1.40,-----,29.99,29.99,0.22,0.25,0.00,1
28,0.2505,1.93,26.69,1.13,-----,26.69,26.69,0.19,0.19,0.00,1
